"","species","hw.raw","hw.logit","time"
"581","D","0.758","1.08797389046305","peak"
"582","D","0.992","3.9992195504583","peak"
"583","D","0.89","1.99243016469021","peak"
"584","D","1","4.59511985013459","peak"
"585","D","0.995","4.18459144006988","peak"
"586","D","0.996","4.25459902498738","peak"
"587","D","0.931","2.45601218378829","peak"
"588","D","1","4.59511985013459","peak"
"589","D","0.617","0.434719179190237","peak"
"590","D","1","4.59511985013459","peak"
"591","D","0.947","2.69954855584689","peak"
"592","D","0.823","1.46962249269322","peak"
"593","D","1","4.59511985013459","peak"
"594","D","0.906","2.15354951383356","peak"
"595","D","0.798","1.31291181518587","peak"
"596","D","1","4.59511985013459","peak"
"597","D","0.822","1.46305837733173","peak"
"598","D","1","4.59511985013459","peak"
"599","D","1","4.59511985013459","peak"
"600","D","0.83","1.51634748936809","peak"
"601","D","0.9","2.09074109693377","peak"
"602","D","0.863","1.75832696071294","peak"
"603","D","1","4.59511985013459","peak"
"604","D","0.819","1.44352548901186","peak"
"605","D","1","4.59511985013459","peak"
"606","D","1","4.59511985013459","peak"
"607","D","1","4.59511985013459","peak"
"608","D","0.969","3.15231900817913","peak"
"609","D","0.949","2.73394161503495","peak"
"610","D","1","4.59511985013459","peak"
"611","D","1","4.59511985013459","peak"
"612","D","0.87","1.81528996663825","peak"
"613","D","1","4.59511985013459","peak"
"614","D","0.992","3.9992195504583","peak"
"615","D","1","4.59511985013459","peak"
"616","D","0.97052504934854","3.19181375133729","peak"
"617","D","0.839183801921603","1.57985373240286","peak"
"618","D","0.80203903944857","1.33726031040382","peak"
"619","D","0.796162887580595","1.30194943879022","peak"
"620","D","0.153","-1.79059328833787","trough"
"621","D","0.129","-2.00193413282465","trough"
"622","D","0.177","-1.60703982975009","trough"
"623","D","0.182","-1.57151867757181","trough"
"624","D","0.143","-1.87468984855879","trough"
"625","D","0.136","-1.93679846870406","trough"
"626","D","0.13","-1.99243016469021","trough"
"627","D","0.12","-2.09074109693377","trough"
"628","D","0.206","-1.41148460994845","trough"
"629","D","0.157","-1.75832696071294","trough"
"630","D","0.14","-1.90095876119305","trough"
"631","D","0.161","-1.72677934949642","trough"
"632","D","0.176","-1.6142456140022","trough"
"633","D","0.193","-1.49615294201858","trough"
"634","D","0.133","-1.96432263699977","trough"
"635","D","0.141","-1.89214580206424","trough"
"636","D","0.135","-1.94591014905531","trough"
"637","D","0.136","-1.93679846870406","trough"
"638","D","0.173","-1.63607386968271","trough"
"639","D","0.141","-1.89214580206424","trough"
"640","D","0.107","-2.2310115749136","trough"
"641","D","0.16","-1.73460105538811","trough"
"642","D","0.193","-1.49615294201858","trough"
"643","D","0.133","-1.96432263699977","trough"
"644","D","0.163","-1.71126277325962","trough"
"645","D","0.198","-1.46305837733173","trough"
"646","D","0.165","-1.69591151043793","trough"
"647","D","0.147","-1.8404337652553","trough"
"648","D","0.155","-1.77436772651619","trough"
"649","D","0.142","-1.88338979207398","trough"
"650","D","0.157","-1.75832696071294","trough"
"651","D","0.16","-1.73460105538811","trough"
"652","D","0.149","-1.82362057129704","trough"
"653","D","0.176","-1.6142456140022","trough"
"654","D","0.163","-1.71126277325962","trough"
"655","D","0.175","-1.62148625095027","trough"
"656","D","0.211","-1.3800560377072","trough"
"657","D","0.208","-1.39884157717198","trough"
"658","D","0.167","-1.68072115265355","trough"
"659","D","0.19","-1.51634748936809","trough"
"660","D","0.3","-0.895384047054841","trough"
"661","D","0.178","-1.59986846141795","trough"
"662","D","0.178","-1.59986846141795","trough"
"663","D","0.163","-1.71126277325962","trough"
"664","D","0.174","-1.6287621852605","trough"
"665","D","0.153","-1.79059328833787","trough"
"666","D","0.194","-1.48947859735512","trough"
"667","D","0.148","-1.83200158550649","trough"
"668","D","0.149","-1.82362057129704","trough"
"669","D","0.133","-1.96432263699977","trough"
"670","D","0.149","-1.82362057129704","trough"
"671","D","0.229","-1.27150342002319","trough"
"672","D","0.195","-1.48283228816254","trough"
"673","D","0.159","-1.74246582262792","trough"
"674","D","0.149","-1.82362057129704","trough"
"675","D","0.16","-1.73460105538811","trough"
"676","D","0.15","-1.81528996663825","trough"
"677","D","0.186","-1.54368653487132","trough"
"678","D","0.316","-0.818886858554424","trough"
"679","D","0.325","-0.776846199436592","trough"
"680","D","0.162","-1.71900011494563","trough"
"681","D","0.2","-1.450010175506","trough"
"682","D","0.164","-1.70356675719259","trough"
"683","D","0.164","-1.70356675719259","trough"
"684","D","0.184","-1.55753947430645","trough"
"685","D","0.21","-1.38629436111989","trough"
"686","D","0.21","-1.38629436111989","trough"
"687","D","0.11","-2.19722457733622","trough"
"688","D","0.2","-1.450010175506","trough"
