species,hw.raw,hw.logit,time
D,1,4.59511985,peak
D,0.906,2.153549514,peak
D,0.798,1.312911815,peak
D,1,4.59511985,peak
D,0.822,1.463058377,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.83,1.516347489,peak
D,0.9,2.090741097,peak
D,0.863,1.758326961,peak
D,1,4.59511985,peak
D,0.819,1.443525489,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.969,3.152319008,peak
D,0.949,2.733941615,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.87,1.815289967,peak
D,1,4.59511985,peak
D,0.992,3.99921955,peak
D,0.955273533,2.84912688,peak
D,0.828387119,1.505458082,peak
D,0.196693646,-1.471638838,peak
D,0.962410131,2.996375846,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.197296726,-1.467671935,peak
D,0.298503678,-0.902662413,peak
D,0.371074109,-0.570705244,peak
D,0.754238082,1.068113984,peak
D,0.192665603,-1.498391135,peak
D,1,4.59511985,peak
D,0.840180129,1.586904404,peak
D,0.955189139,2.847496685,peak
D,0.970525049,3.191813751,peak
D,0.942430036,2.624630563,peak
D,0.204063841,-1.423817352,peak
D,0.839183802,1.579853732,peak
D,0.91155597,2.214633967,peak
D,0.91448511,2.248083692,peak
D,0.297280336,-0.908629645,peak
D,0.965895945,3.076097337,peak
D,0.802039039,1.33726031,peak
D,0.796162888,1.301949439,peak
D,0.967194247,3.107333846,peak
D,0.243019041,-1.191341804,peak
D,0.174229008,-1.6270928,peak
D,0.299516501,-0.89773343,peak
D,0.167355757,-1.678035647,peak
D,0.269946319,-1.04624758,peak
D,0.17555766,-1.61744411,peak
D,0.167670014,-1.675667511,peak
D,0.171880919,-1.644299197,peak
D,0.210292719,-1.384465872,peak
D,0.837421621,1.567462884,peak
D,0.35482065,-0.641884589,peak
D,0.348797417,-0.668657935,peak
D,0.971949087,3.230036451,peak
D,0.2259206,-1.289599542,peak
D,0.664889858,0.640603446,peak
D,0.266807338,-1.062629169,peak
D,0.217735857,-1.338627495,peak
D,0.153,-1.790593288,trough
D,0.129,-2.001934133,trough
D,0.177,-1.60703983,trough
D,0.182,-1.571518678,trough
D,0.143,-1.874689849,trough
D,0.136,-1.936798469,trough
D,0.13,-1.992430165,trough
D,0.12,-2.090741097,trough
D,0.206,-1.41148461,trough
