species,hw.trans.peak,time
C,-1.45494038,trough
C,-1.390113937,trough
C,-1.389147491,trough
C,-1.36671644,trough
C,-1.348630674,trough
C,-1.3341225,trough
C,-1.313672625,trough
C,-1.304327862,trough
C,-1.292655163,trough
C,-1.278733993,trough
C,-1.269745771,trough
C,-1.23268328,trough
C,-1.228167066,trough
C,-1.21802187,trough
C,-1.209879962,trough
C,-1.191390205,trough
C,-1.179316098,trough
C,-1.174550451,trough
C,-1.166447293,trough
C,-1.148954701,trough
C,-1.131382314,trough
C,-1.123725206,trough
C,-1.100490947,trough
C,-1.09814782,trough
C,-1.094953086,trough
C,-1.090251724,trough
C,-1.079088317,trough
C,-1.058485625,trough
C,-1.052607582,trough
C,-1.052322153,trough
C,-1.045863714,trough
C,-1.018463962,trough
C,-1.00195676,trough
C,-0.991039768,trough
C,-0.990881414,trough
C,-0.986494375,trough
C,-0.984725536,trough
C,-0.982865752,trough
C,-0.982091881,trough
C,-0.964075852,trough
C,-0.948988079,trough
C,-0.944531813,trough
C,-0.930014129,trough
C,-0.926518509,trough
C,-0.920924787,trough
C,-0.902519747,trough
C,-0.886108997,trough
C,-0.867375155,trough
C,-0.85115543,trough
C,-0.794549921,trough
C,-0.793588093,trough
C,-0.793459308,trough
C,-0.790940596,trough
C,-0.776415785,trough
C,-0.756709179,trough
C,-0.719329208,trough
C,-0.718202207,trough
C,-0.704682401,trough
C,-0.690192914,trough
C,-0.646256219,trough
C,-0.639696713,trough
C,-0.603110107,trough
C,-0.595322158,trough
C,-0.573794143,trough
C,-0.563857346,trough
C,-0.552144525,trough
C,-0.503669696,trough
C,-0.46937874,trough
C,-0.444425096,trough
C,-0.443355394,trough
C,-0.436171606,trough
C,-0.377646648,trough
C,-0.349606517,trough
C,-0.332666724,trough
C,-0.307550755,trough
C,-0.271700054,trough
C,-0.097249897,trough
C,-0.065176146,trough
C,-0.013704566,trough
C,0.013483672,trough
C,0.018496187,trough
C,0.129552479,trough
C,0.174652981,trough
C,0.17535856,trough
C,0.248559029,trough
C,0.563069161,trough
C,0.747533794,trough
C,0.893371876,trough
C,1.043367907,trough
C,1.666149978,trough
C,2.614546684,trough
D,-1.738208054,peak
D,-1.579443242,peak
D,-1.510247807,peak
D,-1.493878202,peak
D,-1.34781034,peak
D,-1.319304823,peak
D,-1.098146498,peak
D,-1.083734272,peak
D,-1.004537554,peak
D,-0.982435791,peak
D,-0.680349309,peak
D,-0.616710074,peak
D,-0.508020487,peak
D,-0.50345127,peak
