species,hw.trans.peak,time
F,-2.350827762,peak
F,-2.121757746,peak
F,-2.040655517,peak
F,-2.338303176,peak
F,-2.060457164,peak
F,-1.742465823,peak
F,-2.428836968,peak
F,-2.060457164,peak
F,-2.080567034,peak
F,-1.955084525,peak
F,-1.982994352,peak
F,-2.301485588,peak
F,-2.030866872,peak
F,-2.164326874,peak
F,-1.909829572,peak
F,-2.001934133,peak
F,-1.927748469,peak
F,-1.973625549,peak
F,-2.428836968,peak
F,-2.61782511,peak
F,-2.254058052,peak
F,-2.164326874,peak
F,-2.242481169,peak
F,-2.301485588,peak
F,-1.599868461,peak
F,-2.376272809,peak
F,-2.197224577,peak
F,-2.363483275,peak
F,-2.021151266,peak
F,-2.153549514,peak
F,-2.277542957,peak
F,-2.100996545,peak
F,-2.350827762,peak
F,-2.350827762,peak
F,-2.586689344,peak
F,-2.132266681,peak
F,-2.175197255,peak
F,-2.325906528,peak
F,-2.442347035,peak
F,-2.021151266,peak
F,-1.892145802,peak
F,-2.100996545,peak
F,-2.080567034,peak
F,-1.599868461,peak
F,-1.726779349,peak
F,-2.219647041,peak
F,-2.001934133,peak
F,-2.001934133,peak
F,-1.688296487,peak
F,-2.376272809,peak
F,-1.650806341,peak
F,-2.001934133,peak
F,-2.011507432,peak
F,-1.726779349,peak
F,-1.742465823,peak
F,-2.556365614,peak
F,-2.666159259,peak
F,-2.751535313,peak
F,-3.12717816,peak
F,-2.806015015,peak
F,-2.313634929,peak
F,-2.556365614,peak
F,-2.541494124,peak
F,-2.682732393,peak
F,-2.586689344,peak
F,-2.541494124,peak
F,-2.769405696,peak
F,-2.769405696,peak
F,-2.497978731,peak
F,-2.633712581,peak
F,-2.633712581,peak
F,-2.787562264,peak
F,-2.61782511,peak
F,-2.944438979,peak
F,-2.512305624,peak
F,-2.699548556,peak
F,-2.526809141,peak
F,-2.219647041,peak
F,-2.88300718,peak
F,-2.442347035,peak
F,-2.61782511,peak
F,-2.389199566,peak
F,-2.699548556,peak
F,-2.456012184,peak
F,-2.571428862,peak
F,-2.571428862,peak
F,-2.469836397,peak
F,-2.903110784,peak
F,-2.402266864,peak
F,-2.325906528,peak
F,-2.456012184,peak
F,-2.442347035,peak
F,-2.242481169,peak
F,-3.055048851,peak
F,-2.61782511,peak
